#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T13:20:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d67d0f18712	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/623/A108&tab:{J/A+A/623/A108/tablea}&key:source=J/A+A/623/A108&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/623/A108/tablea
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=DE_ICRS
#-out=logA
#-out=e_logA
#-out=E_logA
#-out=Dist
#-out=e_Dist
#-out=E_Dist
#-out=AV
#-out=e_AV
#-out=E_AV
#-out=AGTO
#-out=e_AGTO
#-out=E_AGTO
#-out=Fe/H
#-out=r_Fe/H
#-out=SimbadName
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36230108
#Name: J/A+A/623/A108
#Title: Age of 269 GDR2 open clusters (Bossini+, 2019)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_623_A108_tablea:
#Name: J/A+A/623/A108/tablea
#Title: Summary of OCs parameters characterised in this study (tables A1-A3)
#Column	Cluster	(a20)	Cluster name	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F7.3)	Mean right ascension of the cluster (ICRS) at epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F7.3)	Mean declination of the cluster (ICRS) at epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	logA	(F10.3)	Bayesian estimation of Age (in log t)	[ucd=time.age]
#Column	e_logA	(F10.3)	16th percentile confidence level of Age (in log t)	[ucd=stat.error]
#Column	E_logA	(F10.3)	84th percentile confidence level of Age (in log t)	[ucd=stat.error;stat.max]
#Column	Dist	(F10.3)	Bayesian estimation of distant modulus	[ucd=phot.mag.distMod]
#Column	e_Dist	(F10.3)	16th percentile confidence level of distance modulus	[ucd=stat.error]
#Column	E_Dist	(F10.3)	84th percentile confidence level of distance modulus	[ucd=stat.error;stat.max]
#Column	AV	(F10.3)	Bayesian estimation of extinction in V band	[ucd=phys.absorption;em.opt.V]
#Column	e_AV	(F10.3)	16th percentile confidence level of extinction in V band	[ucd=stat.error]
#Column	E_AV	(F10.3)	84th percentile confidence level of extinction in V band	[ucd=stat.error;stat.max]
#Column	AGTO	(F10.3)	Extinction in G band (GaiaDR2 Evans et al., 2018A&A...616A...4E, Cat. I/345) at the turn off of the cluster	[ucd=phys.absorption;em.opt.V]
#Column	e_AGTO	(F10.3)	16th percentile confidence level of extinction in G band at the turn off	[ucd=stat.error]
#Column	E_AGTO	(F10.3)	84th percentile confidence level of extinction in G band at the turn off	[ucd=stat.error;stat.max]
#Column	Fe/H	(F10.3)	Cluster metallicity assumed (in dex)	[ucd=phys.abund.Z]
#Column	r_Fe/H	(A10)	Reference for the metallicity assumed (1)	[ucd=meta.ref]
#Column	SimbadName	(a22)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
Cluster	RA_ICRS	DE_ICRS	logA	e_logA	E_logA	Dist	e_Dist	E_Dist	AV	e_AV	E_AV	AGTO	e_AGTO	E_AGTO	Fe/H	r_Fe/H	SimbadName	_RA.icrs	_DE.icrs
NGC3496             	164.877	-60.335	     8.646	     9.226	     8.631	    11.973	    12.497	    11.956	     1.447	     1.468	     0.758	     1.412	     1.433	     0.740	     0.000	        NC	NGC3496               	164.8770	-60.3350
NGC4103             	181.628	-61.245	     7.436	     7.437	     7.436	    11.414	    11.429	    11.398	     0.994	     1.012	     0.980	     0.970	     0.988	     0.957	     0.000	        NC	NGC4103               	181.6280	-61.2450
NGC4439             	187.119	-60.097	     7.778	     7.789	     7.765	    11.562	    11.593	    11.533	     1.064	     1.092	     1.037	     1.039	     1.066	     1.012	     0.000	        NC	NGC4439               	187.1190	-60.0970
NGC4463             	187.466	-64.800	     7.540	     7.574	     7.513	    11.300	    11.330	    11.272	     1.439	     1.466	     1.412	     1.405	     1.431	     1.378	     0.000	        NC	NGC4463               	187.4660	-64.8000
NGC4852             	195.046	-59.607	     7.540	     9.024	     7.527	    10.667	    10.695	    10.618	     1.224	     1.251	     0.841	     1.195	     1.221	     0.821	     0.000	        NC	NGC4852               	195.0460	-59.6070
NGC5749             	222.204	-54.502	     7.812	     7.852	     7.778	    10.351	    10.378	    10.323	     1.024	     1.050	     1.001	     1.000	     1.025	     0.977	     0.000	        NC	NGC5749               	222.2040	-54.5020
NGC6152             	248.213	-52.629	     8.236	     9.360	     8.226	    10.986	    11.052	    10.962	     1.059	     1.080	     0.669	     1.034	     1.054	     0.653	     0.000	        NC	NGC6152               	248.2130	-52.6290
NGC6242             	253.878	-39.474	     7.767	     7.771	     7.762	    10.378	    10.396	    10.357	     0.988	     1.005	     0.972	     0.964	     0.981	     0.949	     0.000	        NC	NGC6242               	253.8780	-39.4740
NGC6249             	254.445	-44.815	     7.316	     7.331	     7.303	    10.491	    10.532	    10.453	     1.377	     1.413	     1.344	     1.344	     1.379	     1.312	     0.000	        NC	NGC6249               	254.4450	-44.8150
NGC6531             	271.036	-22.505	     7.046	     7.046	     7.046	    10.190	    10.211	    10.170	     0.757	     0.779	     0.737	     0.739	     0.760	     0.719	     0.000	        NC	NGC6531               	271.0360	-22.5050
NGC6704             	282.687	-05.203	     8.237	     8.266	     8.233	    11.783	    11.804	    11.752	     2.260	     2.285	     2.232	     2.206	     2.230	     2.179	     0.000	        NC	NGC6704               	282.6870	-05.2030
NGC6709             	282.836	+10.334	     8.239	     8.321	     8.221	    10.197	    10.216	    10.177	     0.814	     0.830	     0.797	     0.795	     0.810	     0.778	     0.000	        NC	NGC6709               	282.8360	+10.3340
NGC6728             	284.715	-08.953	     8.768	     8.790	     8.752	    11.035	    11.064	    11.010	     0.715	     0.732	     0.696	     0.698	     0.715	     0.679	     0.000	        NC	NGC6728               	284.7150	-08.9530
NGC6793             	290.817	+22.159	     8.758	     8.821	     8.615	     8.648	     8.671	     8.623	     0.677	     0.698	     0.654	     0.661	     0.681	     0.638	     0.000	        NC	NGC6793               	290.8170	+22.1590
NGC6800             	291.664	+25.008	     8.539	     8.687	     8.483	    10.252	    10.291	    10.218	     1.085	     1.120	     1.046	     1.059	     1.093	     1.021	     0.000	        NC	NGC6800               	291.6640	+25.0080
NGC6997             	314.128	+44.640	     8.742	     8.796	     8.669	    10.193	    10.218	    10.168	     1.643	     1.666	     1.618	     1.604	     1.626	     1.579	     0.000	        NC	NGC6997               	314.1280	+44.6400
NGC7058             	320.448	+50.822	     7.598	     7.632	     7.573	     7.807	     7.845	     7.767	     0.260	     0.299	     0.224	     0.254	     0.292	     0.219	     0.000	        NC	NGC7058               	320.4480	+50.8220
NGC7063             	321.122	+36.507	     8.274	     8.478	     8.030	     9.101	     9.131	     9.069	     0.326	     0.356	     0.295	     0.318	     0.347	     0.288	     0.000	        NC	NGC7063               	321.1220	+36.5070
NGC7235             	333.083	+57.271	     7.006	     7.007	     7.005	    13.163	    13.182	    13.142	     2.516	     2.536	     2.497	     2.456	     2.475	     2.437	     0.000	        NC	NGC7235               	333.0830	+57.2710
NGC7281             	336.259	+57.869	     7.471	     7.734	     7.455	    11.887	    11.916	    11.858	     1.512	     1.535	     1.485	     1.476	     1.498	     1.450	     0.000	        NC	NGC7281               	336.2590	+57.8690
NGC7788             	359.179	+61.395	     7.269	     7.277	     7.261	    12.519	    12.539	    12.494	     1.627	     1.648	     1.611	     1.588	     1.609	     1.572	     0.000	        NC	NGC7788               	359.1790	+61.3950
Platais3            	069.976	+71.280	     8.319	     8.519	     8.222	     6.097	     6.148	     6.052	     0.221	     0.255	     0.185	     0.216	     0.249	     0.181	     0.000	        NC	Cl Platais 3          	069.9760	+71.2800
Platais9            	139.241	-43.862	     7.894	     7.947	     7.871	     6.027	     6.082	     5.951	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	        NC	Cl Platais 9          	139.2410	-43.8620
Platais10           	205.220	-59.271	     7.962	     8.055	     7.888	     6.861	     6.923	     6.799	     0.277	     0.324	     0.232	     0.270	     0.316	     0.226	     0.000	        NC	Cl Platais 10         	205.2200	-59.2710
Pozzo1              	122.374	-47.335	     7.117	     7.178	     7.087	     7.495	     7.586	     7.428	     0.163	     0.188	     0.136	     0.159	     0.184	     0.133	     0.000	        NC	NAMe Pozzo 1          	122.3740	-47.3350
Roslund3            	299.695	+20.509	     7.643	     7.673	     7.614	    11.203	    11.229	    11.178	     1.035	     1.056	     1.011	     1.010	     1.031	     0.987	     0.000	        NC	Cl Roslund 3          	299.6950	+20.5090
Roslund6            	307.185	+39.798	     7.976	     8.025	     7.960	     7.597	     7.628	     7.566	     0.144	     0.169	     0.122	     0.141	     0.165	     0.119	     0.000	        NC	Cl Roslund 6          	307.1850	+39.7980
Ruprecht29          	115.279	-24.377	     8.162	     8.469	     7.626	    11.569	    11.608	    11.528	     0.601	     0.643	     0.563	     0.587	     0.628	     0.550	     0.000	        NC	Cl Ruprecht 29        	115.2790	-24.3770
Ruprecht34          	116.478	-20.386	     8.865	     8.903	     8.821	    11.820	    11.854	    11.782	     0.362	     0.385	     0.341	     0.353	     0.376	     0.333	     0.000	        NC	Cl Ruprecht 34        	116.4780	-20.3860
Ruprecht44          	119.708	-28.558	     7.132	     7.270	     7.108	    13.849	    13.878	    13.822	     1.885	     1.906	     1.857	     1.840	     1.860	     1.813	     0.000	        NC	Cl Ruprecht 44        	119.7080	-28.5580
Ruprecht50          	120.872	-30.873	     8.578	     8.659	     8.503	    11.709	    11.750	    11.673	     0.575	     0.610	     0.536	     0.561	     0.595	     0.523	     0.000	        NC	Cl Ruprecht 50        	120.8720	-30.8730
Ruprecht58          	123.710	-31.938	     8.706	     8.713	     8.692	    12.359	    12.382	    12.336	     0.675	     0.697	     0.658	     0.659	     0.680	     0.642	     0.000	        NC	Cl Ruprecht 58        	123.7100	-31.9380
Ruprecht67          	130.464	-43.363	     8.651	     8.737	     8.459	    11.080	    11.124	    11.030	     1.292	     1.341	     1.248	     1.261	     1.309	     1.218	     0.000	        NC	Cl Ruprecht 67        	130.4640	-43.3630
Ruprecht76          	141.077	-51.651	     8.298	     8.489	     7.812	    11.560	    11.606	    11.512	     1.287	     1.336	     1.240	     1.256	     1.304	     1.210	     0.000	        NC	Cl Ruprecht 76        	141.0770	-51.6510
Ruprecht82          	146.421	-54.004	     8.548	     8.624	     8.499	    11.718	    11.742	    11.694	     1.036	     1.059	     1.012	     1.011	     1.034	     0.988	     0.000	        NC	Cl Ruprecht 82        	146.4210	-54.0040
Ruprecht84          	147.281	-65.259	     8.480	     8.558	     8.417	    11.324	    11.363	    11.288	     0.529	     0.559	     0.486	     0.516	     0.546	     0.474	     0.000	        NC	Cl Ruprecht 84        	147.2810	-65.2590
Ruprecht98          	179.715	-64.581	     8.756	     8.786	     8.719	     8.339	     8.373	     8.308	     0.500	     0.530	     0.470	     0.488	     0.517	     0.459	     0.000	        NC	Cl Ruprecht 98        	179.7150	-64.5810
Ruprecht108         	203.002	-58.509	     7.951	     8.316	     7.925	     9.964	     9.999	     9.931	     0.492	     0.526	     0.461	     0.480	     0.513	     0.450	     0.000	        NC	Cl Ruprecht 108       	203.0020	-58.5090
Ruprecht161         	152.400	-61.259	     7.986	     8.035	     7.935	     9.757	     9.783	     9.731	     0.321	     0.344	     0.295	     0.313	     0.336	     0.288	     0.000	        NC	Cl Ruprecht 161       	152.4000	-61.2590
Ruprecht176         	243.676	-51.332	     8.168	     8.193	     8.075	    12.059	    12.083	    12.035	     1.678	     1.704	     1.653	     1.638	     1.663	     1.613	     0.000	        NC	Cl Ruprecht 176       	243.6760	-51.3320
Stephenson1         	283.568	+36.899	     7.435	     7.488	     7.323	     7.710	     7.776	     7.653	     0.157	     0.198	     0.113	     0.153	     0.193	     0.110	     0.000	        NC	Cl Stephenson 1       	283.5680	+36.8990
Stock1              	294.146	+25.163	     8.676	     8.702	     8.652	     7.906	     7.935	     7.876	     0.387	     0.412	     0.357	     0.378	     0.402	     0.348	     0.000	        NC	Cl Stock 1            	294.1460	+25.1630
Stock10             	084.808	+37.850	     8.060	     8.246	     8.023	     7.574	     7.613	     7.537	     0.255	     0.286	     0.227	     0.249	     0.279	     0.222	     0.000	        NC	Cl Stock 10           	084.8080	+37.8500
Stock12             	353.923	+52.685	     8.188	     8.514	     8.095	     8.070	     8.098	     8.040	     0.270	     0.296	     0.244	     0.264	     0.289	     0.238	     0.000	        NC	Cl Stock 12           	353.9230	+52.6850
Stock23             	049.075	+60.377	     7.973	     8.011	     7.912	     8.903	     8.934	     8.872	     0.751	     0.779	     0.720	     0.733	     0.760	     0.703	     0.000	        NC	Cl Stock 23           	049.0750	+60.3770
Teutsch35           	294.091	+35.742	     7.900	     7.937	     7.888	     8.380	     8.406	     8.350	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	        NC	                      	294.0910	+35.7420
Teutsch61           	113.661	-19.793	     7.686	     7.906	     7.454	    12.555	    12.594	    12.518	     1.765	     1.801	     1.728	     1.723	     1.758	     1.687	     0.000	        NC	                      	113.6610	-19.7930
Tombaugh1           	105.126	-20.569	     8.991	     9.008	     8.967	    12.191	    12.214	    12.169	     0.791	     0.812	     0.766	     0.772	     0.793	     0.748	     0.000	        NC	Cl Tombaugh 1         	105.1260	-20.5690
Trumpler1           	023.915	+61.283	     7.513	     7.642	     7.268	    12.595	    12.624	    12.568	     1.785	     1.812	     1.757	     1.742	     1.769	     1.715	     0.000	        NC	Cl Trumpler 1         	023.9150	+61.2830
Trumpler2           	039.232	+55.905	     7.962	     8.023	     7.929	     9.335	     9.356	     9.314	     0.954	     0.975	     0.936	     0.931	     0.952	     0.914	     0.000	        NC	Cl Trumpler 2         	039.2320	+55.9050
Trumpler7           	111.849	-23.949	     7.692	     7.706	     7.674	    11.172	    11.199	    11.149	     0.841	     0.865	     0.819	     0.821	     0.844	     0.799	     0.000	        NC	Cl Trumpler 7         	111.8490	-23.9490
Trumpler9           	118.911	-25.888	     7.486	     7.504	     7.479	    12.309	    12.338	    12.291	     0.868	     0.884	     0.845	     0.847	     0.863	     0.825	     0.000	        NC	Cl Trumpler 9         	118.9110	-25.8880
Trumpler11          	151.248	-61.619	     7.325	     7.326	     7.325	    12.941	    12.964	    12.919	     0.752	     0.773	     0.730	     0.734	     0.755	     0.713	     0.000	        NC	Cl Trumpler 11        	151.2480	-61.6190
Trumpler12          	151.621	-60.290	     8.898	     8.901	     8.885	    12.567	    12.591	    12.546	     0.567	     0.587	     0.545	     0.553	     0.573	     0.532	     0.000	        NC	Cl Trumpler 12        	151.6210	-60.2900
Trumpler18          	167.826	-60.656	     7.665	     7.695	     7.638	    11.085	    11.110	    11.061	     0.908	     0.931	     0.883	     0.886	     0.909	     0.862	     0.000	        NC	Cl Trumpler 18        	167.8260	-60.6560
Trumpler21          	203.068	-62.787	     7.690	     7.699	     7.669	    10.559	    10.581	    10.534	     0.723	     0.745	     0.699	     0.706	     0.727	     0.682	     0.000	        NC	Cl Trumpler 21        	203.0680	-62.7870
Trumpler26          	262.126	-29.487	     8.561	     8.661	     8.417	    10.570	    10.606	    10.532	     1.512	     1.547	     1.477	     1.476	     1.510	     1.442	     0.000	        NC	Cl Trumpler 26        	262.1260	-29.4870
Trumpler29          	265.347	-40.158	     7.762	     7.795	     7.720	    10.671	    10.694	    10.648	     0.751	     0.769	     0.732	     0.733	     0.751	     0.715	     0.000	        NC	Cl Trumpler 29        	265.3470	-40.1580
Trumpler30          	269.182	-35.298	     8.566	     8.621	     8.494	    10.501	    10.526	    10.475	     0.931	     0.955	     0.907	     0.909	     0.932	     0.885	     0.000	        NC	Cl Trumpler 30        	269.1820	-35.2980
Waterloo7           	111.532	-15.090	     7.653	     7.877	     7.343	    12.831	    12.871	    12.786	     1.321	     1.360	     1.282	     1.289	     1.327	     1.251	     0.000	        NC	Cl Waterloo 7         	111.5320	-15.0900

